#Param Key,Default value,Parameter NAME,Parameter type,Param lower,Param upper,Param list,Parameter Description
smoothing_1_method,2D Savitzky-Golay,Smoothing Method,string,,,2D Savitzky-Golay;1D Savitzky-Golay;None,Method with which to smooth data. 2D Savitzky-Golay is recommended for best performance. 
smoothing_2_window,5,Smoothing Window Size,int,0,inf,,Size of the filter for the applied smoothing method. Increasing this value can improve performance in noisy data but can result in smearing if increased too much
smoothing_3_iterations,1,Smoothing Iterations,int,0,inf,,The number of times to sequentially apply smoothing. Increasing this value will improve fitting of data with minimal smearing.
interpolate_1_axis,collision voltage,Axis(es) to Interpolate,string,,,collision voltage;drift time;both,"Which axis to interpolate (or both). The same scaling factor is applied to both axes when ""both"" is selected. ""collision voltage"" always refers to the x-axis of the fingerprint plot and ""drift time"" to the y-axis."
interpolate_2_scaling,2,Axis Scaling Factor,string,,,2;4;5;8,The ratio between the final number of bins along the specified axis(es) and the original number of bins. E.g. original data with 10 collision voltage steps and a scaling factor of 2 would have 20 steps after interpolation. 
interpolate_3_onedim,FALSE,Use 1D instead of 2D?,string,,,True;False,2D interpolation is generally recommended for most datasets; 1D is provided as well (e.g. can be good for interpolating DT axis or in datasets with only one row/column)
ciuplot_cmap_override,jet,Original CIUplot Colormap Override,string,,,Greys;Blues;Purples;Greens;Reds;Oranges;binary;GnBu;winter;autumn;bone;jet;hot_r;afmhot_r;copper,Color map to use to display data intensity in original CIU plot ONLY. All other plots will use the colormap in the main plotting options menu. 
plot_01_cmap,Blues,Plot Color Scheme,string,,,Greys;Blues;Purples;Greens;Reds;Oranges;binary;GnBu;winter;autumn;bone;jet;hot_r;afmhot_r;copper,Color map to use to display data intensity in all plots. For details about each option see https://matplotlib.org/examples/color/colormaps_reference.html
plot_02_extension,.png,Plot File Type,string,,,.png;.pdf;.svg;.eps;.ps;.svgz;,File format in which to save plots and figures
plot_03_figwidth,8,Plot Width (inches),float,1,20,,Width of output figure in inches (default: 8)
plot_04_figheight,6,Plot Height (inches),float,1,20,,Height of the output figure in inches (default: 6)
plot_05_dpi,80,Plot DPI,int,10,1000,,Dots per inch in the output figure (default: 80)
plot_06_show_colorbar,TRUE,Display Color Legend in Plots,string,,,True;False,Whether to display a colobar (legend) at the right of the plot 
plot_07_show_legend,TRUE,Display Legend in Plots,string,,,True;False,Whether to display a data legend within the plot itself for applicable plots. 
plot_08_show_axes_titles,TRUE,Display Axes Titles,string,,,True;False,Whether to display axes titles on plots. If False: custom titles below will NOT be displayed
plot_09_x_title,Collision Voltage (V),X-axis Title,anystring,,,,Label to display on the x-axis of plots using the original x-axis of the data
plot_10_y_title,Drift time (ms),Y-axis Title,anystring,,,,Label to display on the y-axis of plots using the original y-axis of the data
